# DExtra_Hosts.txt
#
# The format of this file is the name of the reflector followed by its
# IP address.
#

XRF000	141.22.15.29 
XRF001	75.76.90.90 
XRF002	91.201.57.233 
XRF003	95.110.226.76 
XRF004	96.36.58.9 
XRF005	216.16.240.236 
XRF006	80.62.20.151 
XRF007	84.232.6.94 
XRF008	95.110.231.219 
XRF009	141.22.15.29 
XRF010	87.106.48.7 
XRF011	87.106.3.249 
XRF012	xreflector12.dstarsandiego.com 
XRF013	202.191.108.233 
XRF017	87.253.159.114 
XRF018	199.167.129.166 
XRF019	66.30.81.236 
XRF020	204.244.106.101 
XRF021	74.204.50.67 
XRF023	141.75.245.225 
XRF025	63.133.189.2 
XRF026	139.13.100.34 
XRF027	194.116.29.66 
XRF028	193.190.240.228 
XRF031	83.241.141.245 
XRF033	46.226.178.81 
XRF038	66.6.171.228 
XRF044	82.1.185.173 
XRF048	64.39.69.11
XRF055	95.110.229.195 
XRF069	91.142.221.75 
XRF073	147.102.7.34 
XRF090	46.37.185.184 
XRF099	76.71.89.114 
XRF119	192.210.137.151 
XRF121	xrf.kc2idb.net
XRF123	213.126.90.100 
XRF250	xrf250.dstar.su
XRF310	199.167.193.147 
XRF333	xrf333.f1smf.com
XRF333	37.187.103.98 
XRF353	94.173.206.53 
XRF444	71.40.84.59 
XRF555	199.167.193.205 
XRF587	xrf.no-ip.org
XRF719	199.227.117.121 
XRF727	108.33.72.83 
XRF777	62.167.15.53 
XRF780	96.53.97.22 
XRF858	198.57.255.30 
XRF901	199.167.193.219 
XRF905	199.212.121.20 
XRFWDX	xrfwdx.ham-radio-op.net
